amfi_code,cagr_1y,cagr_3y,cagr_5y,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,p_value,max_drawdown,worst_dd_start,worst_dd_trough,expense_ratio,composite_score,final_rank
SCH001,36.2568853566813,47.47373275847184,34.07020082849481,2.710871673433667,4.031485746969721,21.15644113043114,0.01605931316574029,0.00017220706814877204,0.596397665429538,-26.014988528344585,2024-05-17,2025-01-04,0.0045,97.0,1
SCH011,20.760436617607958,29.68176815584407,24.475172213726857,1.5201544745365756,2.2057335154676374,16.06788658564007,0.014778066053460341,0.00014325431603675874,0.6290829639123432,-29.270631153099647,2024-01-31,2024-06-21,0.00215,92.0,2
SCH019,18.320813034528726,22.50010718935931,20.22227376598018,1.0251317521943353,1.489466631615349,13.16626069194565,0.05521804840839782,0.0019092635147744542,0.07770755504086338,-20.31704160004324,2024-05-17,2024-08-24,0.00553,85.5,3
SCH037,38.98301746140205,44.57294649399384,30.908083158549093,2.4664326244037293,3.667370916824442,19.643613983884094,0.009794304255312568,6.141053745056032e-05,0.7518174708157266,-17.21549991252469,2022-03-30,2022-05-13,0.02293,85.0,4
SCH016,38.768038963772476,30.381596379266874,22.064616558733086,1.5880171482631487,2.3440780692851297,14.157070368061921,0.05312833933891472,0.0019038219527573665,0.07813235379922456,-21.498105230152674,2024-05-03,2024-12-23,0.01943,83.0,5
SCH009,46.9370477761202,16.261283187373653,20.80993174943655,0.6299954840388207,0.9116447320089428,14.371679229104128,-0.009127512026040849,5.293660145524935e-05,0.7690524074902912,-18.07709033581538,2023-12-04,2024-10-05,0.00292,80.5,6
SCH025,12.084776370112337,20.668310009457503,30.31400606933874,0.9447406587120697,1.3796130072041293,18.411849500810607,0.0716453229490736,0.0034814084649802774,0.01716556652193251,-40.42779855813918,2024-02-08,2024-08-16,0.01433,77.12,7
SCH028,59.39827086639588,18.02199641611699,20.156467054932303,0.7741732047735149,1.1169295845366425,13.962288732081534,-0.013327669991252332,0.00012232618776960747,0.6553508603627056,-40.596213635270594,2024-05-03,2024-09-26,0.00485,75.75,8
SCH008,57.504754565523044,18.003017608464454,17.56124856635557,0.7630726963408877,1.1023081342964975,12.739137503751131,-0.031904030556542284,0.0006832655825150572,0.29141375461375346,-27.77818384123818,2023-09-16,2024-06-11,0.01379,72.0,9
SCH026,32.51710251444582,19.676174240554545,20.711320752036144,0.8426862510936134,1.226831716581036,14.29632424861736,-0.006170160793740712,2.375397538401517e-05,0.8440763947153757,-32.827127050947034,2024-01-15,2024-08-28,0.02263,71.0,10
SCH024,34.4765947841168,27.025749707799562,15.427727774297528,1.3413309176166401,1.9433864453189853,11.002550939826468,0.0049098812604190115,1.5703843985128782e-05,0.8729453113642465,-33.71904779076146,2022-02-11,2022-11-03,0.02395,70.0,11
SCH040,11.477998556764323,14.4890359711634,20.311688690343676,0.5282580815055674,0.7558751156148519,14.051643024738366,-0.010698204394933516,7.633355855336532e-05,0.7244019570776226,-22.31384480473244,2024-05-29,2024-09-16,0.01631,67.0,12
SCH032,41.76821431484712,16.79146004906482,14.61666297894444,0.6891455916275917,0.9838597606641094,10.06668414759238,0.03354040489134958,0.0007694754393522116,0.26287111208118763,-38.69359887944034,2024-02-20,2024-09-08,0.01049,66.0,13
SCH012,32.57768870817552,19.64810270513091,15.509796662589782,0.8641517142818517,1.2541195041305344,11.039686813720692,0.004794663685248063,1.5148174370259639e-05,0.8751946854932049,-34.43823494671169,2024-05-01,2024-08-07,0.02339,65.88,14
SCH010,11.023781338941841,14.233038510773376,13.375850470759243,0.4987139040913432,0.7133135204528641,9.087926764505653,0.056350858607894405,0.0020146233483230545,0.06995296140831211,-22.13572751594979,2023-07-29,2024-09-05,0.01194,62.75,15
SCH038,40.114758046807395,12.662367547939834,17.739070374122036,0.4030311107513972,0.5840565008511814,12.331965997050952,0.007612115309632998,3.780792516815677e-05,0.8040293406185868,-40.59914700262834,2023-07-17,2024-09-23,0.00669,62.12,16
SCH039,22.422294079587466,14.7699616667889,14.805267590574411,0.5373822647335879,0.7684101141279454,10.7024176995677,0.0006090658348592877,2.3893420345836546e-07,0.9842621653786668,-42.71906626357811,2024-06-04,2024-12-22,0.01176,61.5,17
SCH031,11.386999740090008,8.73593300714992,11.902705883884114,0.14783967475464022,0.20852513135305042,8.543691607292125,0.026126671098119315,0.00045522149351536693,0.3891817472600244,-34.426469733092965,2024-02-24,2024-09-29,0.00114,57.12,18
SCH005,20.813385835051655,12.501712007295463,11.331020259803593,0.3754952058508639,0.5373520443041578,8.601765596670017,0.005907919063033479,2.084096112802635e-05,0.8538347978998132,-30.61760208488945,2023-09-05,2024-07-22,0.01857,54.12,19
SCH027,35.62400561624885,12.399157706414021,14.19023470036802,0.38940276652695,0.5493035271847977,10.130757434184781,0.012609017431592102,0.00010567462681036086,0.6782519708208589,-32.560029065607665,2024-06-18,2025-04-19,0.02063,53.12,20
SCH030,36.68422838435295,9.4313425791144,11.650792696470514,0.1861199668500758,0.2643364742003673,7.932397812902741,0.06620326356061665,0.0026952667811549038,0.03604090437337636,-47.06753974557404,2023-10-24,2024-08-08,0.00398,52.62,21
SCH002,38.196847626143594,10.630412987536154,11.195572160586975,0.2684119095089132,0.382394443858841,7.8848600396137325,0.04507744941688367,0.0013089572353667898,0.1441552358431358,-41.97565204389361,2024-04-17,2025-06-25,0.01192,49.12,22
SCH006,7.602932277079422,7.552205942131729,10.760220254310626,0.07154726112495792,0.10019226522294052,6.660781312785762,0.10694107698923147,0.008066103940554957,0.0002816095925015476,-40.3961250029949,2024-01-01,2024-11-06,0.0114,45.25,23
SCH035,24.86065940339055,1.1799418539993667,4.33836732467443,-0.33991788753297,-0.47254588276350895,4.190305944992745,-0.0025661620337671153,4.100847425473111e-06,0.9348689571626706,-36.96403114769365,2023-12-24,2025-05-20,0.00562,41.75,24
SCH036,0.4767007045699323,5.893489499070492,11.095685476272754,-0.04016442273324894,-0.05743640478363082,8.206893823734323,0.013992239738389032,0.0001309697701948234,0.6441944611629065,-32.43660556821272,2024-03-04,2024-08-30,0.02119,41.12,25
SCH033,25.497402784993927,6.456089181174085,9.965230452528239,-0.0027453241606287433,-0.003851583407815913,7.379022906387734,0.03306226014914135,0.0006517776304601635,0.3028127479955227,-35.4926776938638,2024-04-16,2025-10-04,0.01956,40.62,26
SCH021,-3.626504446369294,-0.9270920771483282,10.812904037746485,-0.46594045208958396,-0.6612040444341848,8.882353880419991,-0.038343655980020645,0.0008826742083946342,0.23045194176690553,-36.856976916486836,2024-03-08,2025-01-22,0.01603,39.12,27
SCH017,31.452250127844806,-0.5158109923680487,7.565336003319034,-0.45115719756260925,-0.6309592217400013,6.900593609743318,-0.047901876761775146,0.00144742229623749,0.1245751964257477,-51.032089302276994,2023-10-20,2024-11-01,0.00589,39.0,28
