amfi_code,var_95_pct,cvar_95_pct
SCH001,-1.434723791559256,-1.9326639630770828
SCH002,-1.529226915005727,-1.9923589247809321
SCH003,-1.6319373986954655,-2.105476964547452
SCH004,-1.6124780559217344,-2.02291542498604
SCH005,-1.616636276386546,-2.0727502239465694
SCH006,-1.4961103042430701,-1.9515630854784385
SCH007,-1.5286580304079256,-2.0167661473610186
SCH008,-1.5281137477175744,-1.9579985545214496
SCH009,-1.5362328090328503,-2.0483009453532706
SCH010,-1.5312556096572172,-2.0066482518226887
SCH011,-1.55355864742735,-2.0041990758636716
SCH012,-1.5379599005730715,-1.9555604257711061
SCH013,-1.5717502087989388,-2.100149754534065
SCH014,-1.5870170377166204,-2.0423489067745253
SCH015,-1.4907406315733729,-1.8826828014351549
SCH016,-1.4460326361183107,-1.8698298953002883
SCH017,-1.5819321770036476,-2.0947154763467273
SCH018,-1.5793374538478677,-1.9805732921086419
SCH019,-1.5165753167304674,-2.0165341871389044
SCH020,-1.5909796448461577,-2.1412481969167776
SCH021,-1.5510744787896658,-2.0955687453356417
SCH022,-1.6061416025978048,-2.0853958011715994
SCH023,-1.470314065338818,-1.9539643527781974
SCH024,-1.4776652636542653,-1.964412719400488
SCH025,-1.4921584505276309,-1.977005653559423
SCH026,-1.5468982256842734,-2.0102908451575625
SCH027,-1.5586951671515914,-2.018932500842364
SCH028,-1.5166859783019349,-1.9665331602418932
SCH029,-1.5974339312546326,-2.117691080621844
SCH030,-1.620486320329917,-2.056290026151183
SCH031,-1.6032608351332356,-2.0430501808589994
SCH032,-1.5099848886640566,-1.9568945525615185
SCH033,-1.606110859304316,-2.14823491639359
SCH034,-1.6267200306211316,-2.0750487069400565
SCH035,-1.6528980626398737,-2.094918502562334
SCH036,-1.543641070568219,-1.9229595977155838
SCH037,-1.4564096202167365,-1.9180683185602614
SCH038,-1.5337655833917996,-1.9601432226104512
SCH039,-1.602343187546862,-2.0037898646285592
SCH040,-1.5604070577115436,-2.0066185907791745
