year,amc,aum_lakh_crores
2022,SBI Mutual Fund,6.8
2022,HDFC Mutual Fund,4.9
2022,ICICI Prudential Mutual Fund,4.6
2022,Nippon India Mutual Fund,3.2
2022,Axis Mutual Fund,2.9
2022,Kotak Mutual Fund,2.6
2022,Quant Mutual Fund,0.8
2023,SBI Mutual Fund,8.7
2023,HDFC Mutual Fund,6.0
2023,ICICI Prudential Mutual Fund,5.7
2023,Nippon India Mutual Fund,3.9
2023,Axis Mutual Fund,3.5
2023,Kotak Mutual Fund,3.2
2023,Quant Mutual Fund,1.6
2024,SBI Mutual Fund,10.6
2024,HDFC Mutual Fund,7.1
2024,ICICI Prudential Mutual Fund,6.8
2024,Nippon India Mutual Fund,4.6
2024,Axis Mutual Fund,4.1
2024,Kotak Mutual Fund,3.8
2024,Quant Mutual Fund,2.4
2025,SBI Mutual Fund,12.5
2025,HDFC Mutual Fund,8.2
2025,ICICI Prudential Mutual Fund,7.9
2025,Nippon India Mutual Fund,5.3
2025,Axis Mutual Fund,4.7
2025,Kotak Mutual Fund,4.4
2025,Quant Mutual Fund,3.2
