month,category,net_inflow_crores
2022-01-01,Large Cap,660.85
2022-01-01,Mid Cap,892.76
2022-01-01,Small Cap,587.77
2022-01-01,Debt Funds,-898.96
2022-01-01,Hybrid Funds,793.02
2022-02-01,Large Cap,1478.9
2022-02-01,Mid Cap,738.8
2022-02-01,Small Cap,448.6
2022-02-01,Debt Funds,-952.14
2022-02-01,Hybrid Funds,548.79
2022-03-01,Large Cap,559.52
2022-03-01,Mid Cap,857.27
2022-03-01,Small Cap,290.77
2022-03-01,Debt Funds,2314.71
2022-03-01,Hybrid Funds,812.48
2022-04-01,Large Cap,446.35
2022-04-01,Mid Cap,939.39
2022-04-01,Small Cap,433.49
2022-04-01,Debt Funds,1468.94
2022-04-01,Hybrid Funds,557.04
2022-05-01,Large Cap,972.0
2022-05-01,Mid Cap,525.0
2022-05-01,Small Cap,565.43
2022-05-01,Debt Funds,-493.75
2022-05-01,Hybrid Funds,309.67
2022-06-01,Large Cap,1159.0
2022-06-01,Mid Cap,771.66
2022-06-01,Small Cap,309.21
2022-06-01,Debt Funds,-755.66
2022-06-01,Hybrid Funds,949.94
2022-07-01,Large Cap,1567.06
2022-07-01,Mid Cap,405.89
2022-07-01,Small Cap,830.17
2022-07-01,Debt Funds,-64.9
2022-07-01,Hybrid Funds,102.82
2022-08-01,Large Cap,1361.68
2022-08-01,Mid Cap,853.73
2022-08-01,Small Cap,663.94
2022-08-01,Debt Funds,1309.79
2022-08-01,Hybrid Funds,1051.79
2022-09-01,Large Cap,914.48
2022-09-01,Mid Cap,535.91
2022-09-01,Small Cap,465.95
2022-09-01,Debt Funds,1670.05
2022-09-01,Hybrid Funds,514.93
2022-10-01,Large Cap,1692.56
2022-10-01,Mid Cap,882.64
2022-10-01,Small Cap,984.62
2022-10-01,Debt Funds,-164.18
2022-10-01,Hybrid Funds,521.27
2022-11-01,Large Cap,1569.62
2022-11-01,Mid Cap,469.7
2022-11-01,Small Cap,454.54
2022-11-01,Debt Funds,655.42
2022-11-01,Hybrid Funds,1104.77
2022-12-01,Large Cap,809.97
2022-12-01,Mid Cap,989.57
2022-12-01,Small Cap,833.91
2022-12-01,Debt Funds,1282.07
2022-12-01,Hybrid Funds,267.32
2023-01-01,Large Cap,1743.72
2023-01-01,Mid Cap,665.12
2023-01-01,Small Cap,2913.38
2023-01-01,Debt Funds,161.98
2023-01-01,Hybrid Funds,210.4
2023-02-01,Large Cap,1552.06
2023-02-01,Mid Cap,609.39
2023-02-01,Small Cap,2776.1
2023-02-01,Debt Funds,-946.28
2023-02-01,Hybrid Funds,258.57
2023-03-01,Large Cap,1593.49
2023-03-01,Mid Cap,2436.91
2023-03-01,Small Cap,687.07
2023-03-01,Debt Funds,1735.34
2023-03-01,Hybrid Funds,391.53
2023-04-01,Large Cap,1197.22
2023-04-01,Mid Cap,1234.71
2023-04-01,Small Cap,700.79
2023-04-01,Debt Funds,149.98
2023-04-01,Hybrid Funds,841.79
2023-05-01,Large Cap,1053.8
2023-05-01,Mid Cap,2403.69
2023-05-01,Small Cap,2067.0
2023-05-01,Debt Funds,2106.04
2023-05-01,Hybrid Funds,636.74
2023-06-01,Large Cap,1065.63
2023-06-01,Mid Cap,1696.66
2023-06-01,Small Cap,1086.93
2023-06-01,Debt Funds,1395.4
2023-06-01,Hybrid Funds,416.12
2023-07-01,Large Cap,563.98
2023-07-01,Mid Cap,589.8
2023-07-01,Small Cap,2945.84
2023-07-01,Debt Funds,1661.29
2023-07-01,Hybrid Funds,874.28
2023-08-01,Large Cap,360.81
2023-08-01,Mid Cap,749.37
2023-08-01,Small Cap,1248.67
2023-08-01,Debt Funds,-898.68
2023-08-01,Hybrid Funds,456.81
2023-09-01,Large Cap,289.79
2023-09-01,Mid Cap,1152.77
2023-09-01,Small Cap,1576.72
2023-09-01,Debt Funds,-145.31
2023-09-01,Hybrid Funds,553.26
2023-10-01,Large Cap,1290.88
2023-10-01,Mid Cap,778.12
2023-10-01,Small Cap,937.67
2023-10-01,Debt Funds,1133.22
2023-10-01,Hybrid Funds,520.8
2023-11-01,Large Cap,1293.02
2023-11-01,Mid Cap,1445.1
2023-11-01,Small Cap,1957.89
2023-11-01,Debt Funds,-187.34
2023-11-01,Hybrid Funds,801.7
2023-12-01,Large Cap,935.31
2023-12-01,Mid Cap,1800.37
2023-12-01,Small Cap,2747.27
2023-12-01,Debt Funds,628.39
2023-12-01,Hybrid Funds,416.39
2024-01-01,Large Cap,1074.56
2024-01-01,Mid Cap,166.48
2024-01-01,Small Cap,956.19
2024-01-01,Debt Funds,2456.78
2024-01-01,Hybrid Funds,429.07
2024-02-01,Large Cap,1739.25
2024-02-01,Mid Cap,721.28
2024-02-01,Small Cap,565.47
2024-02-01,Debt Funds,57.43
2024-02-01,Hybrid Funds,1199.31
2024-03-01,Large Cap,1565.34
2024-03-01,Mid Cap,195.99
2024-03-01,Small Cap,505.09
2024-03-01,Debt Funds,256.36
2024-03-01,Hybrid Funds,425.46
2024-04-01,Large Cap,1318.85
2024-04-01,Mid Cap,119.75
2024-04-01,Small Cap,864.03
2024-04-01,Debt Funds,385.32
2024-04-01,Hybrid Funds,108.91
2024-05-01,Large Cap,1584.11
2024-05-01,Mid Cap,800.48
2024-05-01,Small Cap,978.88
2024-05-01,Debt Funds,2187.16
2024-05-01,Hybrid Funds,919.69
2024-06-01,Large Cap,1532.54
2024-06-01,Mid Cap,912.64
2024-06-01,Small Cap,820.59
2024-06-01,Debt Funds,-194.59
2024-06-01,Hybrid Funds,982.13
2024-07-01,Large Cap,550.41
2024-07-01,Mid Cap,271.12
2024-07-01,Small Cap,400.5
2024-07-01,Debt Funds,1644.52
2024-07-01,Hybrid Funds,944.22
2024-08-01,Large Cap,1289.37
2024-08-01,Mid Cap,223.1
2024-08-01,Small Cap,277.73
2024-08-01,Debt Funds,1196.1
2024-08-01,Hybrid Funds,143.36
2024-09-01,Large Cap,1461.78
2024-09-01,Mid Cap,130.03
2024-09-01,Small Cap,491.89
2024-09-01,Debt Funds,-540.06
2024-09-01,Hybrid Funds,1100.59
2024-10-01,Large Cap,722.75
2024-10-01,Mid Cap,473.95
2024-10-01,Small Cap,360.64
2024-10-01,Debt Funds,1752.79
2024-10-01,Hybrid Funds,1064.11
2024-11-01,Large Cap,785.37
2024-11-01,Mid Cap,551.62
2024-11-01,Small Cap,418.02
2024-11-01,Debt Funds,-424.09
2024-11-01,Hybrid Funds,1105.45
2024-12-01,Large Cap,1710.7
2024-12-01,Mid Cap,970.65
2024-12-01,Small Cap,436.11
2024-12-01,Debt Funds,2046.39
2024-12-01,Hybrid Funds,984.66
2025-01-01,Large Cap,949.33
2025-01-01,Mid Cap,558.13
2025-01-01,Small Cap,2385.38
2025-01-01,Debt Funds,-210.35
2025-01-01,Hybrid Funds,843.96
2025-02-01,Large Cap,1279.05
2025-02-01,Mid Cap,1234.56
2025-02-01,Small Cap,2614.36
2025-02-01,Debt Funds,950.59
2025-02-01,Hybrid Funds,199.33
2025-03-01,Large Cap,831.32
2025-03-01,Mid Cap,955.36
2025-03-01,Small Cap,808.97
2025-03-01,Debt Funds,290.05
2025-03-01,Hybrid Funds,923.91
2025-04-01,Large Cap,619.46
2025-04-01,Mid Cap,1200.15
2025-04-01,Small Cap,2096.37
2025-04-01,Debt Funds,300.16
2025-04-01,Hybrid Funds,842.32
2025-05-01,Large Cap,954.36
2025-05-01,Mid Cap,1701.05
2025-05-01,Small Cap,2857.92
2025-05-01,Debt Funds,148.02
2025-05-01,Hybrid Funds,771.09
2025-06-01,Large Cap,1236.24
2025-06-01,Mid Cap,1734.35
2025-06-01,Small Cap,1660.67
2025-06-01,Debt Funds,1453.77
2025-06-01,Hybrid Funds,814.16
2025-07-01,Large Cap,386.68
2025-07-01,Mid Cap,495.23
2025-07-01,Small Cap,593.03
2025-07-01,Debt Funds,2485.75
2025-07-01,Hybrid Funds,227.73
2025-08-01,Large Cap,575.68
2025-08-01,Mid Cap,1528.85
2025-08-01,Small Cap,1471.61
2025-08-01,Debt Funds,298.54
2025-08-01,Hybrid Funds,1144.32
2025-09-01,Large Cap,1314.37
2025-09-01,Mid Cap,1534.4
2025-09-01,Small Cap,1968.35
2025-09-01,Debt Funds,1543.1
2025-09-01,Hybrid Funds,1073.96
2025-10-01,Large Cap,1247.88
2025-10-01,Mid Cap,2150.76
2025-10-01,Small Cap,2039.13
2025-10-01,Debt Funds,2286.69
2025-10-01,Hybrid Funds,407.71
2025-11-01,Large Cap,1304.45
2025-11-01,Mid Cap,856.27
2025-11-01,Small Cap,1611.74
2025-11-01,Debt Funds,-173.61
2025-11-01,Hybrid Funds,498.95
2025-12-01,Large Cap,1769.48
2025-12-01,Mid Cap,1171.4
2025-12-01,Small Cap,2754.24
2025-12-01,Debt Funds,1256.89
2025-12-01,Hybrid Funds,166.61
