month,folio_count_crores
2022-01-01,13.38
2022-02-01,13.37
2022-03-01,13.43
2022-04-01,13.85
2022-05-01,13.87
2022-06-01,14.27
2022-07-01,14.23
2022-08-01,14.5
2022-09-01,14.86
2022-10-01,15.03
2022-11-01,15.38
2022-12-01,15.52
2023-01-01,15.8
2023-02-01,15.95
2023-03-01,16.41
2023-04-01,16.54
2023-05-01,16.68
2023-06-01,17.01
2023-07-01,17.31
2023-08-01,17.64
2023-09-01,17.81
2023-10-01,18.02
2023-11-01,18.54
2023-12-01,18.63
2024-01-01,19.14
2024-02-01,19.33
2024-03-01,19.55
2024-04-01,19.83
2024-05-01,20.21
2024-06-01,20.41
2024-07-01,20.79
2024-08-01,21.12
2024-09-01,21.47
2024-10-01,21.66
2024-11-01,21.92
2024-12-01,22.18
2025-01-01,22.69
2025-02-01,22.81
2025-03-01,23.15
2025-04-01,23.54
2025-05-01,24.0
2025-06-01,24.26
2025-07-01,24.36
2025-08-01,24.77
2025-09-01,25.13
2025-10-01,25.37
2025-11-01,25.92
2025-12-01,26.12
