investor_id,age,age_group,gender,sip_amount,city_tier
INV00001,29,26-35,Female,4896,B30
INV00002,36,36-45,Male,2974,T30
INV00003,39,36-45,Male,9956,T30
INV00004,29,26-35,Male,2851,B30
INV00005,28,26-35,Male,4939,T30
INV00006,19,18-25,Female,971,B30
INV00007,26,26-35,Male,2914,T30
INV00008,57,46-60,Female,15093,T30
INV00009,44,36-45,Female,5081,B30
INV00010,35,26-35,Male,5004,T30
INV00011,36,36-45,Female,3068,T30
INV00012,33,26-35,Female,3014,T30
INV00013,50,46-60,Female,10149,T30
INV00014,45,36-45,Male,3082,T30
INV00015,78,60+,Male,960,T30
INV00016,39,36-45,Male,20082,B30
INV00017,32,26-35,Female,3010,T30
INV00018,22,18-25,Other,884,T30
INV00019,27,26-35,Female,3040,T30
INV00020,36,36-45,Male,10137,T30
INV00021,42,36-45,Female,14876,B30
INV00022,35,26-35,Female,2145,T30
INV00023,49,46-60,Male,5029,T30
INV00024,68,60+,Female,2069,T30
INV00025,35,26-35,Male,4989,T30
INV00026,41,36-45,Female,4923,B30
INV00027,61,60+,Female,2896,B30
INV00028,42,36-45,Male,9930,T30
INV00029,41,36-45,Male,14893,T30
INV00030,38,36-45,Male,9875,T30
INV00031,30,26-35,Male,10098,T30
INV00032,49,46-60,Male,14908,T30
INV00033,32,26-35,Female,3099,B30
INV00034,26,26-35,Male,14878,T30
INV00035,29,26-35,Male,1980,T30
INV00036,37,36-45,Male,10070,T30
INV00037,20,18-25,Male,1606,T30
INV00038,27,26-35,Male,2073,T30
INV00039,37,36-45,Male,15144,T30
INV00040,57,46-60,Female,19998,T30
INV00041,51,46-60,Female,10085,T30
INV00042,59,46-60,Male,14974,B30
INV00043,35,26-35,Male,3052,T30
INV00044,39,36-45,Male,9889,B30
INV00045,44,36-45,Male,15029,T30
INV00046,20,18-25,Other,1451,T30
INV00047,38,36-45,Female,9940,T30
INV00048,33,26-35,Male,5079,B30
INV00049,31,26-35,Male,10090,B30
INV00050,25,18-25,Male,1030,T30
INV00051,19,18-25,Male,1379,T30
INV00052,37,36-45,Other,5109,T30
INV00053,54,46-60,Male,30080,T30
INV00054,31,26-35,Female,2927,T30
INV00055,37,36-45,Female,9893,B30
INV00056,39,36-45,Female,15074,B30
INV00057,41,36-45,Male,10048,B30
INV00058,31,26-35,Female,9883,B30
INV00059,27,26-35,Male,1995,T30
INV00060,38,36-45,Female,10148,T30
INV00061,40,36-45,Male,14916,T30
INV00062,30,26-35,Male,4915,B30
INV00063,51,46-60,Female,15035,T30
INV00064,39,36-45,Female,9948,B30
INV00065,47,46-60,Female,14901,T30
INV00066,31,26-35,Female,2042,T30
INV00067,28,26-35,Female,2934,T30
INV00068,26,26-35,Female,5077,T30
INV00069,39,36-45,Male,10008,T30
INV00070,29,26-35,Male,10075,T30
INV00071,42,36-45,Female,3064,T30
INV00072,29,26-35,Male,2876,B30
INV00073,31,26-35,Female,10114,T30
INV00074,37,36-45,Female,4989,T30
INV00075,38,36-45,Female,4896,T30
INV00076,33,26-35,Female,10062,B30
