transaction_id,investor_id,amfi_code,transaction_type,amount,transaction_date,kyc_status,state
TXN000001,INV00001,SCH009,Lumpsum,50000.0,2026-06-13,Pending,Haryana
TXN000002,INV00001,SCH009,Lumpsum,250000.0,2025-01-10,Verified,Haryana
TXN000003,INV00002,SCH038,SIP,10000.0,2025-03-01,Verified,Punjab
TXN000004,INV00002,SCH038,SIP,10000.0,2025-03-31,Pending,Punjab
TXN000005,INV00002,SCH038,SIP,10000.0,2025-04-30,Verified,Punjab
TXN000006,INV00002,SCH038,SIP,10000.0,2025-05-30,Verified,Punjab
TXN000007,INV00002,SCH038,SIP,10000.0,2025-06-29,Verified,Punjab
TXN000008,INV00002,SCH038,SIP,10000.0,2025-07-29,Verified,Punjab
TXN000009,INV00002,SCH038,SIP,10000.0,2025-08-28,Verified,Punjab
TXN000010,INV00002,SCH038,SIP,10000.0,2025-09-27,Verified,Punjab
TXN000011,INV00002,SCH038,SIP,10000.0,2025-10-27,Verified,Punjab
TXN000012,INV00002,SCH038,SIP,10000.0,2025-11-26,Verified,Punjab
TXN000013,INV00002,SCH038,SIP,10000.0,2025-12-26,Pending,Punjab
TXN000014,INV00002,SCH038,SIP,10000.0,2026-01-25,Verified,Punjab
TXN000015,INV00002,SCH038,SIP,10000.0,2026-02-24,Verified,Punjab
TXN000016,INV00002,SCH038,SIP,10000.0,2026-03-26,Pending,Punjab
TXN000017,INV00002,SCH038,SIP,10000.0,2026-04-25,Verified,Punjab
TXN000018,INV00002,SCH038,SIP,10000.0,2026-05-25,Verified,Punjab
TXN000019,INV00003,SCH007,Lumpsum,250000.0,2026-06-10,Verified,Tamil Nadu
TXN000020,INV00003,SCH016,Lumpsum,10000.0,2026-02-15,Verified,Tamil Nadu
TXN000021,INV00003,SCH007,Lumpsum,50000.0,2026-05-21,Verified,Tamil Nadu
TXN000022,INV00004,SCH004,SIP,15000.0,2024-07-01,Verified,Maharashtra
TXN000023,INV00004,SCH004,SIP,15000.0,2024-07-31,Pending,Maharashtra
TXN000024,INV00004,SCH004,SIP,15000.0,2024-08-30,Verified,Maharashtra
TXN000025,INV00004,SCH004,SIP,15000.0,2024-09-29,Verified,Maharashtra
TXN000026,INV00004,SCH004,SIP,15000.0,2024-10-29,Verified,Maharashtra
TXN000027,INV00004,SCH004,SIP,15000.0,2024-11-28,Verified,Maharashtra
TXN000028,INV00004,SCH004,SIP,15000.0,2024-12-28,Pending,Maharashtra
TXN000029,INV00004,SCH004,SIP,15000.0,2025-01-27,Verified,Maharashtra
TXN000030,INV00004,SCH004,SIP,15000.0,2025-02-26,Verified,Maharashtra
TXN000031,INV00004,SCH004,SIP,15000.0,2025-03-28,Verified,Maharashtra
TXN000032,INV00004,SCH004,SIP,15000.0,2025-04-27,Verified,Maharashtra
TXN000033,INV00004,SCH004,SIP,15000.0,2025-05-27,Pending,Maharashtra
TXN000034,INV00004,SCH004,SIP,15000.0,2025-06-26,Verified,Maharashtra
TXN000035,INV00004,SCH004,SIP,15000.0,2025-07-26,Pending,Maharashtra
TXN000036,INV00004,SCH004,SIP,15000.0,2025-08-25,Verified,Maharashtra
TXN000037,INV00004,SCH004,SIP,15000.0,2025-09-24,Pending,Maharashtra
