amfi_code,scheme_name,date,nav
SCH001,Equity Large Cap Fund 001,2022-01-01,96.8157
SCH001,Equity Large Cap Fund 001,2022-01-02,97.1833
SCH001,Equity Large Cap Fund 001,2022-01-03,97.3478
SCH001,Equity Large Cap Fund 001,2022-01-04,96.8901
SCH001,Equity Large Cap Fund 001,2022-01-05,96.9539
SCH001,Equity Large Cap Fund 001,2022-01-06,96.6647
SCH001,Equity Large Cap Fund 001,2022-01-07,96.7622
SCH001,Equity Large Cap Fund 001,2022-01-08,97.2844
SCH001,Equity Large Cap Fund 001,2022-01-09,98.5285
SCH001,Equity Large Cap Fund 001,2022-01-10,97.5627
SCH001,Equity Large Cap Fund 001,2022-01-11,99.2372
SCH001,Equity Large Cap Fund 001,2022-01-12,97.6974
SCH001,Equity Large Cap Fund 001,2022-01-13,97.5886
SCH001,Equity Large Cap Fund 001,2022-01-14,98.0576
SCH001,Equity Large Cap Fund 001,2022-01-15,98.2878
SCH001,Equity Large Cap Fund 001,2022-01-16,97.808
SCH001,Equity Large Cap Fund 001,2022-01-17,97.655
SCH001,Equity Large Cap Fund 001,2022-01-18,97.2796
SCH001,Equity Large Cap Fund 001,2022-01-19,96.8307
SCH001,Equity Large Cap Fund 001,2022-01-20,97.4985
SCH001,Equity Large Cap Fund 001,2022-01-21,97.7867
SCH001,Equity Large Cap Fund 001,2022-01-22,97.2544
SCH001,Equity Large Cap Fund 001,2022-01-23,97.9641
SCH001,Equity Large Cap Fund 001,2022-01-24,98.2147
SCH001,Equity Large Cap Fund 001,2022-01-25,98.8632
SCH001,Equity Large Cap Fund 001,2022-01-26,99.3711
SCH001,Equity Large Cap Fund 001,2022-01-27,98.722
SCH001,Equity Large Cap Fund 001,2022-01-28,98.2894
SCH001,Equity Large Cap Fund 001,2022-01-29,98.8869
SCH001,Equity Large Cap Fund 001,2022-01-30,99.3796
SCH001,Equity Large Cap Fund 001,2022-01-31,99.3729
SCH001,Equity Large Cap Fund 001,2022-02-01,99.4761
SCH001,Equity Large Cap Fund 001,2022-02-02,100.5029
SCH001,Equity Large Cap Fund 001,2022-02-03,100.0373
SCH001,Equity Large Cap Fund 001,2022-02-04,100.4851
SCH001,Equity Large Cap Fund 001,2022-02-05,100.3326
SCH001,Equity Large Cap Fund 001,2022-02-06,100.1679
SCH001,Equity Large Cap Fund 001,2022-02-07,101.0585
SCH001,Equity Large Cap Fund 001,2022-02-08,101.7359
SCH001,Equity Large Cap Fund 001,2022-02-09,102.4082
SCH001,Equity Large Cap Fund 001,2022-02-10,103.4879
SCH001,Equity Large Cap Fund 001,2022-02-11,103.5157
SCH001,Equity Large Cap Fund 001,2022-02-12,104.0908
SCH001,Equity Large Cap Fund 001,2022-02-13,103.8428
SCH001,Equity Large Cap Fund 001,2022-02-14,104.1225
SCH001,Equity Large Cap Fund 001,2022-02-15,104.0245
SCH001,Equity Large Cap Fund 001,2022-02-16,104.1156
SCH001,Equity Large Cap Fund 001,2022-02-17,104.6218
SCH001,Equity Large Cap Fund 001,2022-02-18,103.9474
SCH001,Equity Large Cap Fund 001,2022-02-19,105.6978
SCH001,Equity Large Cap Fund 001,2022-02-20,104.8577
SCH001,Equity Large Cap Fund 001,2022-02-21,103.8496
SCH001,Equity Large Cap Fund 001,2022-02-22,104.8222
SCH001,Equity Large Cap Fund 001,2022-02-23,105.4965
SCH001,Equity Large Cap Fund 001,2022-02-24,106.0338
SCH001,Equity Large Cap Fund 001,2022-02-25,106.5774
SCH001,Equity Large Cap Fund 001,2022-02-26,106.5776
SCH001,Equity Large Cap Fund 001,2022-02-27,105.8233
SCH001,Equity Large Cap Fund 001,2022-02-28,105.898
SCH001,Equity Large Cap Fund 001,2022-03-01,105.3349
SCH001,Equity Large Cap Fund 001,2022-03-02,106.1672
SCH001,Equity Large Cap Fund 001,2022-03-03,106.0529
SCH001,Equity Large Cap Fund 001,2022-03-04,105.3631
SCH001,Equity Large Cap Fund 001,2022-03-05,105.1028
SCH001,Equity Large Cap Fund 001,2022-03-06,105.4605
SCH001,Equity Large Cap Fund 001,2022-03-07,104.9954
SCH001,Equity Large Cap Fund 001,2022-03-08,104.3153
SCH001,Equity Large Cap Fund 001,2022-03-09,104.5291
SCH001,Equity Large Cap Fund 001,2022-03-10,104.7444
SCH001,Equity Large Cap Fund 001,2022-03-11,104.3301
SCH001,Equity Large Cap Fund 001,2022-03-12,103.9473
SCH001,Equity Large Cap Fund 001,2022-03-13,104.1507
SCH001,Equity Large Cap Fund 001,2022-03-14,102.9546
SCH001,Equity Large Cap Fund 001,2022-03-15,101.8056
SCH001,Equity Large Cap Fund 001,2022-03-16,101.2307
SCH001,Equity Large Cap Fund 001,2022-03-17,101.0679
SCH001,Equity Large Cap Fund 001,2022-03-18,101.3294
SCH001,Equity Large Cap Fund 001,2022-03-19,102.5355
SCH001,Equity Large Cap Fund 001,2022-03-20,103.2493
SCH001,Equity Large Cap Fund 001,2022-03-21,103.1275
SCH001,Equity Large Cap Fund 001,2022-03-22,103.1222
SCH001,Equity Large Cap Fund 001,2022-03-23,102.3054
SCH001,Equity Large Cap Fund 001,2022-03-24,102.3005
SCH001,Equity Large Cap Fund 001,2022-03-25,102.0745
SCH001,Equity Large Cap Fund 001,2022-03-26,102.3482
SCH001,Equity Large Cap Fund 001,2022-03-27,101.6811
SCH001,Equity Large Cap Fund 001,2022-03-28,102.1138
SCH001,Equity Large Cap Fund 001,2022-03-29,103.3761
SCH001,Equity Large Cap Fund 001,2022-03-30,103.2965
SCH001,Equity Large Cap Fund 001,2022-03-31,103.6388
SCH001,Equity Large Cap Fund 001,2022-04-01,104.2213
SCH001,Equity Large Cap Fund 001,2022-04-02,103.8972
SCH001,Equity Large Cap Fund 001,2022-04-03,104.0939
SCH001,Equity Large Cap Fund 001,2022-04-04,104.1148
SCH001,Equity Large Cap Fund 001,2022-04-05,104.2065
SCH001,Equity Large Cap Fund 001,2022-04-06,103.5725
SCH001,Equity Large Cap Fund 001,2022-04-07,103.6032
SCH001,Equity Large Cap Fund 001,2022-04-08,104.0263
SCH001,Equity Large Cap Fund 001,2022-04-09,105.2444
SCH001,Equity Large Cap Fund 001,2022-04-10,106.0626
SCH001,Equity Large Cap Fund 001,2022-04-11,107.9001
SCH001,Equity Large Cap Fund 001,2022-04-12,107.2486
SCH001,Equity Large Cap Fund 001,2022-04-13,108.0077
SCH001,Equity Large Cap Fund 001,2022-04-14,108.1769
SCH001,Equity Large Cap Fund 001,2022-04-15,110.0829
SCH001,Equity Large Cap Fund 001,2022-04-16,109.382
SCH001,Equity Large Cap Fund 001,2022-04-17,108.6582
SCH001,Equity Large Cap Fund 001,2022-04-18,108.148
SCH001,Equity Large Cap Fund 001,2022-04-19,106.3212
SCH001,Equity Large Cap Fund 001,2022-04-20,105.8847
SCH001,Equity Large Cap Fund 001,2022-04-21,105.2522
SCH001,Equity Large Cap Fund 001,2022-04-22,105.3894
SCH001,Equity Large Cap Fund 001,2022-04-23,105.6881
SCH001,Equity Large Cap Fund 001,2022-04-24,107.2849
SCH001,Equity Large Cap Fund 001,2022-04-25,108.1114
SCH001,Equity Large Cap Fund 001,2022-04-26,107.6233
SCH001,Equity Large Cap Fund 001,2022-04-27,106.8605
SCH001,Equity Large Cap Fund 001,2022-04-28,107.2917
