scheme_code,scheme_name,company_name,sector,weight_pct
SCH001,Equity Fund 001,Infosys,Information Technology,3.01
SCH001,Equity Fund 001,Cipla,Healthcare,19.32
SCH001,Equity Fund 001,Mahindra & Mahindra,Automobile,8.45
SCH001,Equity Fund 001,Tech Mahindra,Information Technology,5.86
SCH001,Equity Fund 001,L&T,Construction,1.09
SCH001,Equity Fund 001,HDFC Bank,Financial Services,1.09
SCH001,Equity Fund 001,Tata Communications,Telecommunication,0.38
SCH001,Equity Fund 001,Kotak Mahindra Bank,Financial Services,12.91
SCH001,Equity Fund 001,Eicher Motors,Automobile,5.9
SCH001,Equity Fund 001,DLF,Construction,7.9
SCH001,Equity Fund 001,Vedanta,Metals,0.13
SCH001,Equity Fund 001,Sun Pharma,Healthcare,22.49
SCH001,Equity Fund 001,Indian Oil,Oil & Gas,11.47
SCH002,Equity Fund 002,Cipla,Healthcare,5.83
SCH002,Equity Fund 002,Maruti Suzuki,Automobile,4.89
SCH002,Equity Fund 002,Infosys,Information Technology,4.94
SCH002,Equity Fund 002,L&T,Construction,8.85
SCH002,Equity Fund 002,Nestle India,FMCG,18.14
SCH002,Equity Fund 002,Tata Power,Power,13.79
SCH002,Equity Fund 002,Axis Bank,Financial Services,8.39
SCH002,Equity Fund 002,Bharti Airtel,Telecommunication,23.08
SCH002,Equity Fund 002,Vodafone Idea,Telecommunication,3.66
SCH002,Equity Fund 002,Power Grid,Power,8.43
SCH003,Equity Fund 003,Infosys,Information Technology,3.33
SCH003,Equity Fund 003,Maruti Suzuki,Automobile,4.45
SCH003,Equity Fund 003,TCS,Information Technology,11.24
SCH003,Equity Fund 003,HCL Tech,Information Technology,1.63
SCH003,Equity Fund 003,Apollo Hospitals,Healthcare,5.28
SCH003,Equity Fund 003,ITC,FMCG,6.56
SCH003,Equity Fund 003,Nestle India,FMCG,0.35
SCH003,Equity Fund 003,Tech Mahindra,Information Technology,6.84
SCH003,Equity Fund 003,GAIL,Oil & Gas,1.37
SCH003,Equity Fund 003,Mahindra & Mahindra,Automobile,0.49
SCH003,Equity Fund 003,Coal India,Metals,21.74
SCH003,Equity Fund 003,Divi's Lab,Healthcare,24.64
SCH003,Equity Fund 003,ICICI Bank,Financial Services,12.08
SCH004,Equity Fund 004,Britannia,FMCG,6.33
SCH004,Equity Fund 004,Sun Pharma,Healthcare,1.79
SCH004,Equity Fund 004,Eicher Motors,Automobile,20.06
SCH004,Equity Fund 004,ITC,FMCG,10.09
SCH004,Equity Fund 004,Coal India,Metals,2.26
SCH004,Equity Fund 004,JSW Steel,Metals,11.89
SCH004,Equity Fund 004,Cipla,Healthcare,0.61
SCH004,Equity Fund 004,Vodafone Idea,Telecommunication,41.76
SCH004,Equity Fund 004,Adani Green,Power,5.21
SCH005,Equity Fund 005,UltraTech Cement,Construction,6.39
