amfi_code,expense_ratio
SCH001,0.0045
SCH002,0.01192
SCH003,0.0195
SCH004,0.01793
SCH005,0.01857
SCH006,0.0114
SCH007,0.0202
SCH008,0.01379
SCH009,0.00292
SCH010,0.01194
SCH011,0.00215
SCH012,0.02339
SCH013,0.02373
SCH014,0.00905
SCH015,0.00843
SCH016,0.01943
SCH017,0.00589
SCH018,0.00528
SCH019,0.00553
SCH020,0.00933
SCH021,0.01603
SCH022,0.02412
SCH023,0.00606
SCH024,0.02395
SCH025,0.01433
SCH026,0.02263
SCH027,0.02063
SCH028,0.00485
SCH029,0.01657
SCH030,0.00398
SCH031,0.00114
SCH032,0.01049
SCH033,0.01956
SCH034,0.01459
SCH035,0.00562
SCH036,0.02119
SCH037,0.02293
SCH038,0.00669
SCH039,0.01176
SCH040,0.01631
