month,sip_inflow_crores
2022-01-01,11624.46
2022-02-01,11345.97
2022-03-01,12004.58
2022-04-01,12953.97
2022-05-01,13592.36
2022-06-01,13679.23
2022-07-01,13414.51
2022-08-01,14722.27
2022-09-01,15205.19
2022-10-01,15325.92
2022-11-01,15965.09
2022-12-01,15674.53
2023-01-01,16501.99
2023-02-01,16824.85
2023-03-01,17042.89
2023-04-01,18320.38
2023-05-01,18062.04
2023-06-01,18931.01
2023-07-01,19531.72
2023-08-01,19347.8
2023-09-01,19688.74
2023-10-01,19998.93
2023-11-01,20154.12
2023-12-01,20636.52
2024-01-01,21352.44
2024-02-01,21867.97
2024-03-01,22483.44
2024-04-01,22583.82
2024-05-01,23430.81
2024-06-01,22977.19
2024-07-01,23453.76
2024-08-01,24065.9
2024-09-01,24317.06
2024-10-01,25519.95
2024-11-01,26045.72
2024-12-01,26412.68
2025-01-01,25839.08
2025-02-01,27295.88
2025-03-01,27221.95
2025-04-01,27147.56
2025-05-01,28119.57
2025-06-01,28659.54
2025-07-01,28925.51
2025-08-01,29272.7
2025-09-01,29219.13
2025-10-01,29892.6
2025-11-01,30144.28
2025-12-01,31002.0
